Name of State / UT,Total Confirmed cases (Including 72 foreign Nationals) ,Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andhra Pradesh,432,11,7,2020-04-13,15.9129,79.74
Andaman and Nicobar Islands,11,10,0,2020-04-13,,
Arunachal Pradesh,1,0,0,2020-04-13,,
Assam,31,0,1,2020-04-13,,
Bihar,64,26,1,2020-04-13,25.0961,85.3131
Chandigarh,21,7,0,2020-04-13,30.7333,76.7794
Chhattisgarh,31,10,0,2020-04-13,21.2787,81.8661
Delhi,1154,27,24,2020-04-13,28.7041,77.1025
Goa,7,5,0,2020-04-13,,
Gujarat,539,47,26,2020-04-13,22.2587,71.1924
Haryana,185,29,3,2020-04-13,29.0588,76.0856
Himachal Pradesh,32,13,1,2020-04-13,31.1048,77.1734
Jammu and Kashmir,245,6,4,2020-04-13,33.7782,76.5762
Jharkhand,19,0,2,2020-04-13,,
Karnataka,247,59,6,2020-04-13,15.3173,75.7139
Kerala,376,179,3,2020-04-13,10.8505,76.2711
Ladakh,15,10,0,2020-04-13,34.2996,78.2932
Madhya Pradesh,604,44,43,2020-04-13,22.9734,78.6569
Maharashtra,1985,217,149,2020-04-13,19.7515,75.7139
Manipur,2,1,0,2020-04-13,24.6637,93.9063
Mizoram,1,0,0,2020-04-13,23.1645,92.9376
Nagaland,1,0,0,2020-04-13,,
Odisha,54,12,1,2020-04-13,20.9517,85.0985
Puducherry,7,1,0,2020-04-13,11.9416,79.8083
Punjab,167,14,11,2020-04-13,31.1471,75.3412
Rajasthan,812,21,3,2020-04-13,27.0238,74.2179
Tamil Nadu,1075,50,11,2020-04-13,11.1271,78.6569
Telengana,562,100,16,2020-04-13,18.1124,79.0193
Tripura,2,0,0,2020-04-13,,
Uttarakhand,35,5,0,2020-04-13,30.0668,79.0193
Uttar Pradesh,483,47,5,2020-04-13,26.8467,80.9462
West Bengal,152,29,7,2020-04-13,22.9868,87.855
9352*,"
980
","
324
",,2020-04-13,,
